iter	Logloss
0	0.6917366484
1	0.6902778959
2	0.688563942
3	0.6874832037
4	0.6855196034
5	0.6844180404
6	0.6829189219
7	0.6819137788
8	0.6806575351
9	0.6793033246
10	0.6784888958
11	0.6768492494
12	0.6752500563
13	0.6734698155
14	0.6717240435
15	0.6703364884
16	0.6700911077
17	0.6697132527
18	0.6686185136
19	0.6668418943
20	0.6662433606
21	0.6645209623
22	0.662954815
23	0.6621280606
24	0.6609065382
25	0.6597449975
26	0.6584287548
27	0.6575853139
28	0.6569944575
29	0.6560134518
30	0.6552811963
31	0.6541377136
32	0.6532996349
33	0.6520507055
34	0.6508095902
35	0.6504993578
36	0.6488285884
37	0.6479777076
38	0.6472259186
39	0.6458658354
40	0.6446588107
41	0.6436004574
42	0.642906438
43	0.6418660885
44	0.6409542018
45	0.6402138756
46	0.6393532022
47	0.6384965292
48	0.6369223694
49	0.6356537733
50	0.6347419896
51	0.6340349792
52	0.6327236324
53	0.6318064993
54	0.6308492828
55	0.6304157714
56	0.6290254895
57	0.6276520139
58	0.6266557862
59	0.6250419167
60	0.6241981205
61	0.6235906129
62	0.6229017846
63	0.6221172155
64	0.6211459801
65	0.6197798749
66	0.6189355092
67	0.6175399176
68	0.6166175905
69	0.6154292308
70	0.6150868546
71	0.614122284
72	0.6134379596
73	0.6122572069
74	0.6113998406
75	0.6102976711
76	0.6095303068
77	0.6088969379
78	0.6075895749
79	0.6068601816
80	0.6060382679
81	0.6055574714
82	0.6049025156
83	0.6038785508
84	0.6033207139
85	0.6021992243
86	0.6016083877
87	0.6012146039
88	0.6002152772
89	0.5992722127
90	0.5980825402
91	0.5979580866
92	0.5976032177
93	0.5964281773
94	0.5956974422
95	0.594890703
96	0.5938738181
97	0.5932687696
98	0.5929389829
99	0.591498304
100	0.5912493399
101	0.5908447459
102	0.5895774187
103	0.5886217916
104	0.5883367305
105	0.5874329812
106	0.5870609903
107	0.585880739
108	0.584891783
109	0.5836417835
110	0.5822842167
111	0.5809633574
112	0.5797615504
113	0.5786307076
114	0.5779884754
115	0.5771796119
116	0.5766463492
117	0.5759972163
118	0.5750888411
119	0.57425814
120	0.5733559694
121	0.5727932721
122	0.5722190625
123	0.5717750005
124	0.5713970973
125	0.5708904853
126	0.5697713031
127	0.5687462928
128	0.5675750461
129	0.5667955975
130	0.5657961041
131	0.5646797092
132	0.5637487909
133	0.5626283589
134	0.5622107454
135	0.5615317446
136	0.5604899136
137	0.5597200798
138	0.5585948982
139	0.5578437116
140	0.5576882677
141	0.5565466833
142	0.5561780196
143	0.5559277874
144	0.5551508523
145	0.5541042016
146	0.5536350996
147	0.5533478075
148	0.552350591
149	0.5523132784
150	0.5515300569
151	0.5502512275
152	0.5497974682
153	0.5490992417
154	0.5489327706
155	0.5479450692
156	0.5478136273
157	0.5471123995
158	0.5466534233
159	0.5456568514
160	0.5453960134
161	0.5452360349
162	0.5445289302
163	0.5435322015
164	0.5425816975
165	0.5418428438
166	0.5410988957
167	0.5401375175
168	0.5395534174
169	0.5383006041
170	0.5377095959
171	0.5373715882
172	0.536857893
173	0.53637309
174	0.5360496188
175	0.5359637699
176	0.5351461108
177	0.5346655334
178	0.5339283434
179	0.5333046977
180	0.5327314108
181	0.5320042779
182	0.5313823791
183	0.5299184068
184	0.528891723
185	0.5288747447
186	0.5282640623
187	0.5275914075
188	0.5267717412
189	0.5264861084
190	0.5260306518
191	0.5256064512
192	0.5245791053
193	0.5238397997
194	0.5235548991
195	0.5231884178
196	0.5221278586
197	0.5213274512
198	0.5210063129
199	0.5209850705
200	0.5201173338
