iter	Passed	Remaining
0	140	140771
1	142	70874
2	143	47576
3	144	35876
4	144	28853
5	145	24149
6	146	20777
7	147	18271
8	148	16351
9	149	14793
10	150	13516
11	151	12450
12	152	11546
13	152	10775
14	154	10115
15	154	9531
16	155	8999
17	156	8521
18	157	8109
19	157	7736
20	158	7403
21	159	7099
22	160	6832
23	161	6579
24	162	6341
25	163	6125
26	164	5925
27	165	5738
28	166	5558
29	166	5398
30	167	5247
31	168	5105
32	169	4973
33	170	4847
34	171	4729
35	172	4610
36	173	4506
37	173	4402
38	174	4306
39	175	4214
40	176	4126
41	177	4045
42	178	3962
43	178	3888
44	180	3822
45	180	3753
46	181	3686
47	182	3623
48	183	3562
49	184	3506
50	185	3452
51	186	3401
52	187	3351
53	188	3302
54	189	3255
55	190	3205
56	191	3164
57	192	3123
58	193	3081
59	194	3043
60	195	3008
61	196	2973
62	197	2938
63	198	2907
64	199	2876
65	201	2844
66	202	2813
67	203	2784
68	204	2758
69	205	2735
70	206	2707
71	208	2682
72	209	2656
73	210	2635
74	211	2612
75	213	2589
76	214	2566
77	215	2546
78	216	2524
79	217	2505
80	219	2487
81	220	2469
82	221	2452
83	223	2434
84	224	2416
85	225	2397
86	226	2380
87	227	2361
88	228	2343
89	230	2329
90	231	2313
91	232	2294
92	233	2277
93	234	2262
94	236	2250
95	237	2236
96	238	2221
97	239	2207
98	240	2193
99	242	2180
100	243	2169
101	244	2155
102	246	2142
103	247	2129
104	248	2114
105	249	2103
106	250	2088
107	251	2076
108	252	2063
109	253	2051
110	254	2041
111	256	2031
112	257	2022
113	258	2011
114	259	2000
115	260	1988
116	262	1984
117	264	1975
118	265	1966
119	266	1957
120	268	1947
121	269	1936
122	270	1929
123	271	1919
124	272	1908
125	273	1899
126	274	1890
127	276	1881
128	277	1872
129	278	1863
130	279	1855
131	280	1846
132	282	1839
133	283	1831
134	284	1822
135	285	1814
136	286	1805
137	287	1797
138	289	1790
139	290	1783
140	291	1772
141	292	1764
142	293	1757
143	294	1748
144	295	1742
145	297	1739
146	298	1732
147	299	1725
148	300	1717
149	301	1708
150	302	1701
151	303	1694
152	304	1687
153	305	1679
154	306	1670
155	307	1664
156	308	1656
157	309	1650
158	310	1643
159	311	1637
160	313	1631
161	313	1623
162	315	1618
163	316	1612
164	317	1606
165	318	1600
166	319	1593
167	320	1588
168	322	1583
169	323	1577
170	324	1571
171	325	1566
172	326	1560
173	327	1555
174	328	1549
175	329	1542
176	330	1537
177	331	1531
178	332	1525
179	333	1520
180	334	1514
181	335	1509
182	336	1503
183	337	1498
184	338	1492
185	339	1487
186	341	1483
187	342	1478
188	343	1473
189	344	1468
190	345	1462
191	346	1458
192	347	1453
193	348	1448
194	349	1443
195	350	1437
196	351	1433
197	352	1428
198	353	1423
199	354	1417
200	355	1412
201	356	1407
202	357	1402
203	357	1396
204	358	1391
205	360	1387
206	360	1382
207	362	1378
208	362	1372
209	363	1368
210	364	1364
211	366	1360
212	367	1357
213	368	1353
214	369	1348
215	370	1344
216	371	1340
217	372	1336
218	373	1333
219	374	1329
220	375	1324
221	376	1320
222	377	1316
223	379	1313
224	380	1309
225	381	1304
226	382	1301
