iter	MultiClass
0	1.65673891311	1.44581892122	1.27235228233	1.18439628444	1.05785882555	0.985539116	66	0.939265375777	0.88906089888	0.835809914199	0.7892076651110	0.7465597291111	0.7129689551112	0.6765578763113	0.6514661484114	0.6237164941115	0.6031648756116	0.6023216217117	0.5801082118	18	0.5570477919	0.529401336
20	0.5166343937
21	21	0.5026161622222	0.4913503023223	0.4856200024	24	0.4708591025	25	0.4664999026	26	0.454630992727	0.4511586628	28	0.438006429	029	0.431265030	30	0.4237396231	31	0.4183708232	0.4237371201
33	0.4202780564
34	0.4166512621
35	0.4118600712
36	0.4068300578
37	0.4048217476
38	0.4026326249
39	0.4026299225
40	0.4016190891
41	0.3959154856
42	0.3928664641
43	0.3915687484
44	0.389035186
45	0.3869755927
46	0.3866757088
47	0.3850885367
48	0.3847134745
49	0.3822470296
50	0.3801585098
51	0.3786190832
52	0.3765930486
53	0.3722575584
54	0.3691669083
55	0.3687207564
56	0.3656674835
57	057	0.342788158	058	0.341085659	059	0.339474060	0.3615367123
61	0.3597212334
62	62	0.3351725063	63	0.3348063464	64	0.333254565	065	0.332265166	0.3515385536
67	067	0.331533668	068	0.330123369	069	0.32970	070	070	0.32897771	0.71	0.32691172	0.3461052565
73	0.3440270454
74	0.74	0.32375	75	0.75	0.3276	0.322876	0.3277	0.321077	0.3197051708
78	0.3176099522
79	0.3163725907
80	0.3159108436
81	0.3137357341
82	0.3114494891
83	0.310600782
84	0.3095274429
85	0.3082722977
86	0.3068341443
87	0.3050762207
88	0.3033604735
89	0.3031387461
90	0.3025205535
91	0.3008056057
92	0.3000405079
93	0.297617869
94	0.2966405547
95	0.2949836981
96	0.2934456898
97	0.2918650328
98	0.2899989795
99	0.2893832757
100	0.2882440267
101	0.2873635988
102	0.2864539877
103	0.2849384915
104	0.2835388549
105	0.2818434256
106	0.2805507768
107	0.2791554294
108	0.2780701135
109	0.2762305571
110	0.2750889517
111	0.2737133935
112	0.2725235627
113	0.2713819037
114	0.2706157309
115	0.2700092129
116	0.2690694372
117	0.2682473682
118	0.2664446573
119	0.2655520767
120	0.2644059756
121	0.2637378513
122	0.2628097172
123	0.2620452547
124	0.2608372593
125	0.2598505557
126	0.2589227675
127	0.257646262
128	0.2570092403
129	0.256218039
130	0.255118219
131	0.2545194353
132	0.2535692062
133	0.2525927185
134	0.2518334634
135	0.2511168628
136	0.2503089819
137	0.2495302907
138	0.2489784806
139	0.2480710489
140	0.2474284245
141	0.2468455241
142	0.2462043786
143	0.2454966377
144	0.2450104958
145	0.2442180305
146	0.2437116564
147	0.2432292851
148	0.2424743712
149	0.2419877382
150	0.2416699668
151	0.2410646126
152	0.2403969952
153	0.239829685
154	0.2393195637
155	0.238565046
156	0.2379810117
157	0.2373435251
158	0.2366079664
159	0.2360889788
160	0.2356858246
161	0.2352482645
162	0.2343991358
163	0.2340017493
164	0.233203242
165	0.2325644092
166	0.2321593324
167	0.2316767487
168	0.2311733444
169	0.2308341217
170	0.230512953
171	0.2298909041
172	0.2292339656
173	0.2287274842
174	0.2282408479
175	0.2279019481
176	0.2275549022
177	0.2272256522
178	0.2267736865
179	0.2261412369
180	0.2256338315
181	0.2252826183
182	0.2249370834
184	0.2313219531
185	0.2308350393
185	0.2239207621
186	0.2235324118
187	0.2230978175
188	0.2225391549
189	0.2219875461
190	0.2212951958
191	0.2208770915
192	0.2203141887
193	0.2195866006
194	0.2191113118
195	0.2188418885
196	0.2182811647
197	0.2180437402
198	0.2178134819
199	0.2174366039
200	0.2169724773
201	0.2166747059
202	0.216365271
203	0.2160448189
204	0.215618778
205	0.2152253071
206	0.2150090645
207	0.2146940869
208	0.2142874993
209	0.2140535307
210	0.2135590434
211	0.2132774031
212	0.2127980781
213	0.2124495567
214	0.2121844355
215	0.2118365
216	0.2116054747
217	0.2112374951
218	0.2108158417
219	0.2105307359
220	0.2101199565
221	0.2095561955
222	0.2092360609
223	0.208867493
224	0.2084577679
225	0.2080752878
226	0.2078088735
227	0.2074999907
228	0.2068718462
229	0.206471236
230	0.2059319323
231	0.2053003535
232	0.2049301654
233	0.2045161411
234	0.2042142509
235	0.2037738867
236	0.2034927133
