iter	Passed	Remaining
0	343	292727
1	514	219102
2	672	190638
3	805	170869
4	967	164106
5	1172	165528
6	1357	164122
7	1558	164659
8	2131	199844
9	2420	204014
10	2816	215622
11	3045	213420
12	3228	208616
13	3432	205692
14	3652	204070
15	3820	199886
16	3865	190071
17	3997	185442
18	4172	183159
19	4309	179502
20	4472	177191
21	4704	177691
22	4866	175602
23	5004	172857
24	5149	170554
25	5284	168101
26	5444	166552
27	5484	161601
28	5660	160823
29	5778	158510
30	5924	157100
31	6109	156748
32	6270	155820
33	6470	155860
34	6669	155881
35	6838	155195
36	6970	153726
37	7140	153154
38	7274	151834
39	7306	148511
40	7378	146137
41	7551	145810
42	7733	145673
43	7859	144516
44	7994	143553
45	8158	143120
46	8237	141262
47	8426	141316
48	8501	139494
49	8659	139078
50	8791	138245
51	8942	137751
52	9102	137403
53	9247	136829
54	9424	136742
55	9472	134811
56	9614	134263
57	9714	133158
58	9860	132696
59	9994	132092
60	10016	130047
61	10185	129950
62	10319	129407
63	10406	128287
64	10561	128043
65	10726	127911
66	10801	126718
67	11013	127143
68	11188	127131
69	11263	125997070	11344	124946
71	11499	124732
72	11599	123973	73	11790	124122
74	11924	123697575	12086	123567676	12241	123367777	12398	123190
78	12552	122979
79	12719	122900
80	12800	122002
81	12994	122176
82	13190	122372
83	13405	122721
84	13611	122980
85	13784	122941
86	13966	122970
87	14157	123070
88	14346	123151
89	14473	122707
90	14632	122528
91	14774	122207
92	14961	122268
93	15135	122210
94	15323	122261
95	15527	122438
96	15720	122526
97	15908	122559
98	16108	122685
99	16212	122077
100	16399	122106
101	16562	121948
102	16762	122056
103	16922	121874
104	17099	121813
105	17315	122026
106	17489	121938
107	17643	121709
108	17855	121878
109	18012	121666
110	18196	121635
111	18354	121435
112	18484	121047
113	18684	121120
114	18856	121007
115	18999	120711
116	19165	120564
117	19330	120404
118	19466	120073
119	19623	119867
120	19820	119905
121	19974	119684
122	20137	119517
123	20375	119787
124	20567	119784
125	20721	119558
126	20895	119448
127	21119	119619
128	21386	120031
129	21538	119789
130	21725	119736
131	21892	119581
132	22073	119497
133	22219	119220
134	22359	118918
135	22524	118753
136	22680	118534
137	22828	118280
138	23053	118419
139	23275	118537
140	23447	118399
141	23666	118500
142	23854	118440
143	24057	118447
144	24218	118252
145	24399	118152
146	24545	117884
147	24695	117636
148	24864	117481
149	25012	117223
150	25172	117026
151	25350	116912
152	25504	116685
153	25634	116352
154	25794	116156
155	25977	116065
156	26086	115642
157	26263	115524
158	26438	115396
159	26606	115239
160	26767	115052
161	26917	114813
162	27062	114561
163	27213	114331
164	27365	114103
165	27531	113939
166	27675	113684
167	27832	113485
168	27968	113199
169	28138	113049
170	28306	112896
171	28448	112636
172	28607	112446
173	28753	112205
174	28935	112104
175	29091	111904
176	29235	111656
177	29393	111462
178	29543	111242
179	29691	111014
180	29827	110740
181	30003	110618
182	30174	110474
183	30328	1102718184	30504	1101418185	30702	110100
186	30881	109983
187	31055	109849
188	31223	109695
189	31399	109567
190	31558	109381
191	31720	109206
192	31875	109004
193	32036	108825
194	32194	108635
195	32390	108574
196	32586	108510
197	32809	108534
198	33003	108465
199	33186	108355
200	33355	108196
201	33471	107872
202	33612	107625
203	33738	107334
204	33901	107162
205	34075	107022
206	34227	106815
