Model,Accuracy,Precision,Recall,F1,ROC_AUC
ExtraTreesClassifier,0.995001810938066,0.9896373056994818,0.993708408953418,0.9916686790630282,0.9995181673491041
BaggingClassifier,0.9939876856211518,0.9898391193903472,0.9900786448880823,0.989958867650617,0.9986548326413578
DecisionTreeClassifier,0.9921405287939152,0.9861077554964968,0.9876588021778584,0.986882669407,0.9908570568139228
ExtraTreeClassifier,0.9902933719666788,0.9819211763287935,0.9857229280096794,0.9838183794227751,0.9889844932113528
KNeighborsClassifier,0.9877218399130749,0.9746107784431137,0.9846339987900786,0.9795967499247668,0.9956880266726834
AdaBoostClassifier,0.9863455269829772,0.9819159335288368,0.9722928009679371,0.9770806735971792,0.9984566701019176
BernoulliNB,0.948605577689243,0.9779391231499581,0.8474289171203871,0.9080184092824269,0.9377604227500865
CalibratedClassifierCV,0.798297718218037,0.9966838614591009,0.32728372655777377,0.49275890336096184,0.9510613017959468
DummyClassifier,0.7006519377037306,0.0,0.0,0.0,0.5
GaussianNB,0.7006519377037306,0.0,0.0,0.0,0.937734423044358
