iter	Passed	Remaining
0	139	69514
1	145	36151
2	150	25010
3	158	19615
4	163	16189
5	168	13908
6	174	12273
7	179	11048
8	185	10113
9	190	9336
10	195	8701
11	202	8223
12	207	7774
13	212	7391
14	218	7058
15	223	6769
16	229	6511
17	234	6278
18	240	6083
19	245	5897
20	251	5738
21	257	5586
22	262	5442
23	267	5306
24	272	5183
25	278	5070
26	283	4961
27	288	4861
28	293	4767
29	298	4680
30	304	4602
31	309	4527
32	314	4455
33	320	4385
34	325	4320
35	330	4261
36	335	4201
37	341	4146
38	346	4100
39	352	4048
40	356	3996
41	362	3950
42	367	3902
43	372	3860
44	378	3822
45	383	3782
46	388	3744
47	394	3716
48	400	3688
49	405	3653
50	411	3624
51	416	3591
52	421	3558
53	427	3529
54	432	3501
55	437	3471
56	443	3446
57	448	3417
58	454	3396
59	459	3372
60	465	3348
61	470	3322
62	475	3296
63	480	3272
64	485	3251
65	490	3226
66	495	3204
67	501	3183
68	506	3162
69	511	3141
70	516	3119
71	521	3101
72	526	3081
73	532	3066
74	537	3046
75	542	3027
76	548	3011
77	553	2996
78	559	2980
79	564	2964
80	569	2947
81	575	2933
82	580	2918
83	586	2902
84	590	2884
85	595	2868
86	601	2853
87	606	2838
88	611	2825
89	617	2812
90	622	2798
91	627	2784
92	632	2768
93	637	2753
94	642	2738
95	647	2725
96	652	2712
97	657	2696
98	662	2683
99	667	2670
100	672	2656
101	677	2644
102	682	2631
103	688	2621
104	693	2609
105	698	2596
106	704	2586
107	709	2576
108	715	2565
109	720	2553
110	724	2540
111	729	2528
112	735	2518
113	740	2506
114	745	2496
115	750	2485
116	756	2474
117	761	2465
118	766	2454
119	771	2443
120	776	2431
121	781	2420
122	786	2412
123	791	2401
124	797	2391
125	802	2383
126	808	2373
127	813	2363
128	818	2352
129	823	2343
130	828	2333
131	834	2326
132	845	2331
133	854	2334
134	862	2330
135	869	2325
136	875	2320
137	881	2312
138	887	2305
139	893	2297
140	898	2287
141	904	2279
142	909	2270
143	914	2261
144	920	2253
145	925	2244
146	931	2236
147	936	2227
148	941	2218
149	947	2211
150	953	2202
151	958	2193
152	963	2184
153	968	2176
154	973	2167
155	979	2160
156	984	2151
157	989	2142
158	995	2134
159	1000	2125
160	1005	2116
161	1010	2108
162	1015	2100
163	1020	2091
164	1025	2082
165	1030	2074
166	1036	2065
167	1041	2057
168	1046	2050
169	1052	2042
170	1057	2035
171	1062	2027
172	1067	2018
173	1072	2009
174	1077	2001
175	1082	1992
176	1088	1985
177	1093	1977
178	1098	1970
179	1103	1962
180	1109	1954
181	1115	1948
182	1119	1940
183	1124	1931
184	1130	1925
185	1135	1917
186	1141	1910
187	1146	1902
188	1152	1896
189	1157	1888
190	1163	1882
191	1169	1875
192	1174	1868
193	1179	1860
194	1184	1852
195	1189	1845
196	1195	1838
197	1200	1830
198	1205	1822
199	1210	1815
200	1215	1808
201	1220	1801
202	1226	1793
203	1231	1786
204	1237	1780
205	1243	1774
206	1248	1767
207	1253	1759
208	1258	1752
209	1263	1745
210	1269	1738
211	1274	1731
212	1279	1724
213	1284	1717
214	1290	1710
215	1295	1703
216	1300	1696
217	1305	1689
218	1311	1682
219	1317	1676
220	1322	1669
221	1327	1662
222	1332	1655
223	1337	1648
224	1342	1641
225	1347	1634
226	1353	1627
227	1358	1620
228	1363	1613
229	1368	1606
230	1373	1599
231	1378	1592
232	1383	1585
233	1389	1578
234	1394	1572
235	1400	1566
236	1405	1559
237	1410	1553
238	1416	1546
239	1421	1539
240	1426	1532
241	1431	1525
242	1436	1519
243	1442	1513
244	1447	1506
245	1452	1499
246	1457	1492
247	1462	1486
248	1467	1479
249	1473	1473
250	1478	1466
251	1483	1460
252	1488	1453
253	1493	1446
254	1498	1440
255	1503	1433
256	1508	1426
257	1512	1418
258	1517	1412
259	1522	1405
260	1527	1399
261	1532	1392
262	1538	1386
263	1543	1379
264	1549	1373
265	1554	1367
266	1559	1360
267	1564	1354
268	1570	1348
269	1575	1342
270	1580	1335
271	1585	1329
272	1591	1323
273	1596	1316
274	1601	1310
275	1606	1303
276	1612	1297
277	1616	1291
278	1621	1284
279	1627	1278
280	1632	1272
281	1637	1266
282	1642	1259
283	1647	1253
284	1653	1247
285	1658	1240
286	1663	1234
287	1668	1228
288	1673	1221
289	1679	1216
290	1684	1209
291	1689	1203
292	1694	1197
293	1700	1191
294	1705	1185
295	1710	1178
296	1715	1172
297	1720	1166
298	1725	1160
299	1730	1153
300	1735	1147
301	1741	1141
302	1746	1135
303	1752	1129
304	1756	1123
305	1761	1116
306	1766	1110
307	1771	1104
308	1776	1098
309	1782	1092
310	1787	1086
311	1792	1080
312	1797	1073
313	1803	1068
314	1808	1062
315	1813	1056
316	1818	1050
317	1823	1043
318	1828	1037
319	1834	1031
320	1838	1025
321	1843	1019
322	1849	1013
323	1854	1007
324	1860	1001
325	1865	995
326	1870	989
327	1875	983
328	1880	977
329	1885	971
330	1890	965
331	1895	959
332	1901	953
333	1906	947
334	1911	941
335	1916	935
336	1921	929
337	1927	923
338	1932	917
339	1937	911
340	1943	905
341	1948	900
342	1953	894
343	1958	888
344	1963	882
345	1968	876
346	1973	870
347	1979	864
348	1984	858
349	1989	852
350	1995	847
351	2000	841
352	2005	835
353	2010	829
354	2015	823
355	2020	817
356	2025	811
357	2030	805
358	2036	799
359	2041	793
360	2046	788
361	2051	782
362	2056	776
363	2062	770
364	2067	764
365	2072	758
366	2078	753
367	2083	747
368	2089	741
369	2095	736
370	2100	730
371	2105	724
372	2110	718
373	2116	712
374	2120	706
375	2126	701
376	2131	695
377	2136	689
378	2142	684
379	2149	678
380	2155	673
381	2162	668
382	2169	662
383	2175	657
384	2182	651
385	2188	646
386	2194	640
387	2201	635
388	2207	630
389	2214	624
390	2220	618
391	2226	613
392	2231	607
393	2236	601
394	2242	596
395	2248	590
396	2253	584
397	2258	578
398	2264	573
399	2269	567
400	2275	561
401	2280	556
402	2285	550
403	2290	544
404	2296	538
405	2301	532
406	2307	527
407	2313	521
408	2319	515
409	2324	510
410	2329	504
411	2333	498
412	2339	492
413	2344	486
414	2349	481
415	2354	475
416	2359	469
417	2364	463
418	2369	458
419	2375	452
420	2380	446
421	2385	440
422	2390	435
423	2395	429
424	2401	423
425	2406	418
426	2411	412
427	2417	406
428	2422	400
429	2427	395
430	2432	389
431	2437	383
432	2443	378
433	2448	372
434	2453	366
435	2457	360
436	2462	355
437	2468	349
438	2474	343
439	2479	338
440	2484	332
441	2489	326
442	2494	321
443	2500	315
444	2505	309
445	2510	304
446	2516	298
447	2521	292
448	2526	286
449	2531	281
450	2536	275
451	2541	269
452	2546	264
453	2552	258
454	2557	252
455	2562	247
456	2568	241
457	2572	235
458	2578	230
459	2583	224
460	2588	219
461	2593	213
462	2598	207
463	2603	202
464	2608	196
465	2614	190
466	2618	185
467	2624	179
468	2630	173
469	2635	168
470	2640	162
471	2645	156
472	2650	151
473	2656	145
474	2661	140
475	2666	134
476	2671	128
477	2676	123
478	2681	117
479	2687	111
480	2692	106
481	2697	100
482	2702	95
483	2708	89
484	2713	83
485	2719	78
486	2724	72
487	2730	67
488	2735	61
489	2740	55
490	2746	50
491	2751	44
492	2756	39
493	2761	33
494	2766	27
495	2771	22
496	2777	16
497	2782	11
498	2787	5
499	2793	0
